im_name,accuracy,psnr,snr
Tsukuba_f_0_0_0.png,88.6,14.17,7.38
Tsukuba_f_0_0_1.png,88.6,14.17,7.38
Tsukuba_f_0_0_10.png,88.6,14.17,7.38
Tsukuba_f_0_0_11.png,88.6,14.17,7.38
Tsukuba_f_0_0_12.png,88.6,14.17,7.38
Tsukuba_f_0_0_13.png,88.6,14.17,7.38
Tsukuba_f_0_0_14.png,88.6,14.17,7.38
Tsukuba_f_0_0_15.png,88.6,14.17,7.38
Tsukuba_f_0_0_16.png,88.6,14.17,7.38
Tsukuba_f_0_0_17.png,88.6,14.17,7.38
Tsukuba_f_0_0_18.png,88.6,14.17,7.38
Tsukuba_f_0_0_2.png,88.6,14.17,7.38
Tsukuba_f_0_0_3.png,88.6,14.17,7.38
Tsukuba_f_0_0_4.png,88.6,14.17,7.38
Tsukuba_f_0_0_5.png,88.6,14.17,7.38
Tsukuba_f_0_0_6.png,88.6,14.17,7.38
Tsukuba_f_0_0_7.png,88.6,14.17,7.38
Tsukuba_f_0_0_8.png,88.6,14.17,7.38
Tsukuba_f_0_0_9.png,88.6,14.17,7.38
Tsukuba_f_0_10_0.png,88.6,14.17,7.38
Tsukuba_f_0_10_1.png,88.6,14.17,7.38
Tsukuba_f_0_10_10.png,88.59,14.17,7.38
Tsukuba_f_0_10_11.png,88.58,14.17,7.38
Tsukuba_f_0_10_12.png,88.6,14.17,7.38
Tsukuba_f_0_10_13.png,88.78,14.2,7.41
Tsukuba_f_0_10_14.png,88.68,14.17,7.38
Tsukuba_f_0_10_15.png,88.99,14.22,7.43
Tsukuba_f_0_10_16.png,87.33,15.82,9.04
Tsukuba_f_0_10_17.png,83.25,12.64,5.85
Tsukuba_f_0_10_18.png,88.62,14.18,7.39
Tsukuba_f_0_10_2.png,88.6,14.17,7.38
Tsukuba_f_0_10_3.png,88.6,14.17,7.38
Tsukuba_f_0_10_4.png,88.6,14.17,7.38
Tsukuba_f_0_10_5.png,88.6,14.17,7.38
Tsukuba_f_0_10_6.png,88.59,14.17,7.38
Tsukuba_f_0_10_7.png,88.59,14.17,7.38
Tsukuba_f_0_10_8.png,88.6,14.17,7.38
Tsukuba_f_0_10_9.png,88.59,14.17,7.38
Tsukuba_f_0_11_0.png,88.6,14.17,7.38
Tsukuba_f_0_11_1.png,88.6,14.17,7.38
Tsukuba_f_0_11_10.png,88.59,14.17,7.38
Tsukuba_f_0_11_11.png,88.58,14.17,7.38
Tsukuba_f_0_11_12.png,88.6,14.17,7.38
Tsukuba_f_0_11_13.png,88.78,14.2,7.41
Tsukuba_f_0_11_14.png,88.68,14.17,7.38
Tsukuba_f_0_11_15.png,88.99,14.22,7.43
Tsukuba_f_0_11_16.png,87.33,15.82,9.04
Tsukuba_f_0_11_17.png,83.25,12.64,5.85
Tsukuba_f_0_11_18.png,88.62,14.18,7.39
Tsukuba_f_0_11_2.png,88.6,14.17,7.38
Tsukuba_f_0_11_3.png,88.6,14.17,7.38
Tsukuba_f_0_11_4.png,88.6,14.17,7.38
Tsukuba_f_0_11_5.png,88.6,14.17,7.38
Tsukuba_f_0_11_6.png,88.59,14.17,7.38
Tsukuba_f_0_11_7.png,88.59,14.17,7.38
Tsukuba_f_0_11_8.png,88.6,14.17,7.38
Tsukuba_f_0_11_9.png,88.58,14.17,7.38
Tsukuba_f_0_12_0.png,88.6,14.17,7.38
Tsukuba_f_0_12_1.png,88.6,14.17,7.38
Tsukuba_f_0_12_10.png,88.59,14.17,7.38
Tsukuba_f_0_12_11.png,88.58,14.17,7.38
Tsukuba_f_0_12_12.png,88.6,14.17,7.38
Tsukuba_f_0_12_13.png,88.78,14.2,7.41
Tsukuba_f_0_12_14.png,88.68,14.17,7.38
Tsukuba_f_0_12_15.png,88.99,14.22,7.43
Tsukuba_f_0_12_16.png,87.33,15.82,9.04
Tsukuba_f_0_12_17.png,83.25,12.64,5.85
Tsukuba_f_0_12_18.png,88.62,14.18,7.39
Tsukuba_f_0_12_2.png,88.6,14.17,7.38
Tsukuba_f_0_12_3.png,88.6,14.17,7.38
Tsukuba_f_0_12_4.png,88.6,14.17,7.38
Tsukuba_f_0_12_5.png,88.6,14.17,7.38
Tsukuba_f_0_12_6.png,88.59,14.17,7.38
Tsukuba_f_0_12_7.png,88.59,14.17,7.38
Tsukuba_f_0_12_8.png,88.6,14.17,7.38
Tsukuba_f_0_12_9.png,88.58,14.17,7.38
Tsukuba_f_0_13_0.png,88.6,14.17,7.38
Tsukuba_f_0_13_1.png,88.6,14.17,7.38
Tsukuba_f_0_13_10.png,88.59,14.17,7.38
Tsukuba_f_0_13_11.png,88.58,14.17,7.38
Tsukuba_f_0_13_12.png,88.6,14.17,7.38
Tsukuba_f_0_13_13.png,88.78,14.2,7.41
Tsukuba_f_0_13_14.png,88.68,14.17,7.38
Tsukuba_f_0_13_15.png,88.99,14.22,7.43
Tsukuba_f_0_13_16.png,87.33,15.82,9.04
Tsukuba_f_0_13_17.png,83.25,12.64,5.85
Tsukuba_f_0_13_18.png,88.62,14.18,7.39
Tsukuba_f_0_13_2.png,88.6,14.17,7.38
Tsukuba_f_0_13_3.png,88.6,14.17,7.38
Tsukuba_f_0_13_4.png,88.6,14.17,7.38
Tsukuba_f_0_13_5.png,88.6,14.17,7.38
Tsukuba_f_0_13_6.png,88.59,14.17,7.38
Tsukuba_f_0_13_7.png,88.59,14.17,7.38
Tsukuba_f_0_13_8.png,88.6,14.17,7.38
Tsukuba_f_0_13_9.png,88.58,14.17,7.38
Tsukuba_f_0_14_0.png,88.6,14.17,7.38
Tsukuba_f_0_14_1.png,88.6,14.17,7.38
Tsukuba_f_0_14_10.png,88.59,14.17,7.38
Tsukuba_f_0_14_11.png,88.58,14.17,7.38
Tsukuba_f_0_14_12.png,88.6,14.17,7.38
Tsukuba_f_0_14_13.png,88.78,14.2,7.41
Tsukuba_f_0_14_14.png,88.68,14.17,7.38
Tsukuba_f_0_14_15.png,88.99,14.22,7.43
Tsukuba_f_0_14_16.png,87.33,15.82,9.04
Tsukuba_f_0_14_17.png,83.25,12.64,5.85
Tsukuba_f_0_14_18.png,88.62,14.18,7.39
Tsukuba_f_0_14_2.png,88.6,14.17,7.38
Tsukuba_f_0_14_3.png,88.6,14.17,7.38
Tsukuba_f_0_14_4.png,88.6,14.17,7.38
Tsukuba_f_0_14_5.png,88.6,14.17,7.38
Tsukuba_f_0_14_6.png,88.59,14.17,7.38
Tsukuba_f_0_14_7.png,88.59,14.17,7.38
Tsukuba_f_0_14_8.png,88.6,14.17,7.38
Tsukuba_f_0_14_9.png,88.58,14.17,7.38
Tsukuba_f_0_15_0.png,88.6,14.17,7.38
Tsukuba_f_0_15_1.png,88.6,14.17,7.38
Tsukuba_f_0_15_10.png,88.59,14.17,7.38
Tsukuba_f_0_15_11.png,88.58,14.17,7.38
Tsukuba_f_0_15_12.png,88.6,14.17,7.38
Tsukuba_f_0_15_13.png,88.78,14.2,7.41
Tsukuba_f_0_15_14.png,88.68,14.17,7.38
Tsukuba_f_0_15_15.png,88.99,14.22,7.43
Tsukuba_f_0_15_16.png,87.33,15.82,9.04
Tsukuba_f_0_15_17.png,83.25,12.64,5.85
Tsukuba_f_0_15_18.png,88.62,14.18,7.39
Tsukuba_f_0_15_2.png,88.6,14.17,7.38
Tsukuba_f_0_15_3.png,88.6,14.17,7.38
Tsukuba_f_0_15_4.png,88.6,14.17,7.38
Tsukuba_f_0_15_5.png,88.6,14.17,7.38
Tsukuba_f_0_15_6.png,88.59,14.17,7.38
Tsukuba_f_0_15_7.png,88.59,14.17,7.38
Tsukuba_f_0_15_8.png,88.6,14.17,7.38
Tsukuba_f_0_15_9.png,88.58,14.17,7.38
Tsukuba_f_0_16_0.png,88.6,14.17,7.38
Tsukuba_f_0_16_1.png,88.6,14.17,7.38
Tsukuba_f_0_16_10.png,88.59,14.17,7.38
Tsukuba_f_0_16_11.png,88.58,14.17,7.38
Tsukuba_f_0_16_12.png,88.6,14.17,7.38
Tsukuba_f_0_16_13.png,88.78,14.2,7.41
Tsukuba_f_0_16_14.png,88.68,14.17,7.38
Tsukuba_f_0_16_15.png,88.99,14.22,7.43
Tsukuba_f_0_16_16.png,87.33,15.82,9.04
Tsukuba_f_0_16_17.png,83.25,12.64,5.85
Tsukuba_f_0_16_18.png,88.62,14.18,7.39
Tsukuba_f_0_16_2.png,88.6,14.17,7.38
Tsukuba_f_0_16_3.png,88.6,14.17,7.38
Tsukuba_f_0_16_4.png,88.6,14.17,7.38
Tsukuba_f_0_16_5.png,88.6,14.17,7.38
Tsukuba_f_0_16_6.png,88.59,14.17,7.38
Tsukuba_f_0_16_7.png,88.59,14.17,7.38
Tsukuba_f_0_16_8.png,88.6,14.17,7.38
Tsukuba_f_0_16_9.png,88.58,14.17,7.38
Tsukuba_f_0_17_0.png,88.6,14.17,7.38
Tsukuba_f_0_17_1.png,88.6,14.17,7.38
Tsukuba_f_0_17_10.png,88.59,14.17,7.38
Tsukuba_f_0_17_11.png,88.58,14.17,7.38
Tsukuba_f_0_17_12.png,88.6,14.17,7.38
Tsukuba_f_0_17_13.png,88.78,14.2,7.41
Tsukuba_f_0_17_14.png,88.68,14.17,7.38
Tsukuba_f_0_17_15.png,88.99,14.22,7.43
Tsukuba_f_0_17_16.png,87.33,15.82,9.04
Tsukuba_f_0_17_17.png,83.25,12.64,5.85
Tsukuba_f_0_17_18.png,88.62,14.18,7.39
Tsukuba_f_0_17_2.png,88.6,14.17,7.38
Tsukuba_f_0_17_3.png,88.6,14.17,7.38
Tsukuba_f_0_17_4.png,88.6,14.17,7.38
Tsukuba_f_0_17_5.png,88.6,14.17,7.38
Tsukuba_f_0_17_6.png,88.59,14.17,7.38
Tsukuba_f_0_17_7.png,88.59,14.17,7.38
Tsukuba_f_0_17_8.png,88.6,14.17,7.38
Tsukuba_f_0_17_9.png,88.58,14.17,7.38
Tsukuba_f_0_18_0.png,88.6,14.17,7.38
Tsukuba_f_0_18_1.png,88.6,14.17,7.38
Tsukuba_f_0_18_10.png,88.59,14.17,7.38
Tsukuba_f_0_18_11.png,88.57,14.17,7.38
Tsukuba_f_0_18_12.png,88.6,14.17,7.38
Tsukuba_f_0_18_13.png,88.78,14.2,7.41
Tsukuba_f_0_18_14.png,88.68,14.17,7.38
Tsukuba_f_0_18_15.png,88.99,14.22,7.43
Tsukuba_f_0_18_16.png,87.33,15.82,9.04
Tsukuba_f_0_18_17.png,83.25,12.64,5.85
Tsukuba_f_0_18_18.png,88.63,14.18,7.39
Tsukuba_f_0_18_2.png,88.6,14.17,7.38
Tsukuba_f_0_18_3.png,88.6,14.17,7.38
Tsukuba_f_0_18_4.png,88.6,14.17,7.38
Tsukuba_f_0_18_5.png,88.6,14.17,7.38
Tsukuba_f_0_18_6.png,88.59,14.17,7.38
Tsukuba_f_0_18_7.png,88.59,14.17,7.38
Tsukuba_f_0_18_8.png,88.59,14.17,7.38
Tsukuba_f_0_18_9.png,88.58,14.17,7.38
Tsukuba_f_0_19_0.png,88.6,14.17,7.38
Tsukuba_f_0_19_1.png,88.6,14.17,7.38
Tsukuba_f_0_19_10.png,88.75,14.31,7.52
Tsukuba_f_0_19_11.png,87.01,13.91,7.12
Tsukuba_f_0_19_12.png,88.35,13.58,6.79
Tsukuba_f_0_19_13.png,88.6,14.17,7.38
Tsukuba_f_0_19_14.png,88.6,14.17,7.38
Tsukuba_f_0_19_15.png,88.6,14.17,7.39
Tsukuba_f_0_19_16.png,88.6,14.17,7.38
Tsukuba_f_0_19_17.png,88.6,14.17,7.38
Tsukuba_f_0_19_18.png,88.6,14.17,7.38
Tsukuba_f_0_19_2.png,88.6,14.17,7.38
Tsukuba_f_0_19_3.png,88.6,14.17,7.38
Tsukuba_f_0_19_4.png,88.6,14.17,7.38
Tsukuba_f_0_19_5.png,88.61,14.17,7.38
Tsukuba_f_0_19_6.png,88.62,14.18,7.39
Tsukuba_f_0_19_7.png,88.64,14.18,7.39
Tsukuba_f_0_19_8.png,88.74,14.21,7.42
Tsukuba_f_0_19_9.png,88.68,14.23,7.44
Tsukuba_f_0_1_0.png,88.6,14.17,7.38
Tsukuba_f_0_1_1.png,88.6,14.17,7.38
Tsukuba_f_0_1_10.png,88.67,14.19,7.4
Tsukuba_f_0_1_11.png,87.62,13.53,6.74
Tsukuba_f_0_1_12.png,88.4,14.07,7.28
Tsukuba_f_0_1_13.png,88.6,14.17,7.38
Tsukuba_f_0_1_14.png,88.6,14.17,7.38
Tsukuba_f_0_1_15.png,88.6,14.18,7.39
Tsukuba_f_0_1_16.png,88.59,14.25,7.46
Tsukuba_f_0_1_17.png,88.6,14.17,7.38
Tsukuba_f_0_1_18.png,88.6,14.17,7.38
Tsukuba_f_0_1_2.png,88.6,14.17,7.38
Tsukuba_f_0_1_3.png,88.6,14.17,7.38
Tsukuba_f_0_1_4.png,88.61,14.17,7.38
Tsukuba_f_0_1_5.png,88.61,14.17,7.38
Tsukuba_f_0_1_6.png,88.63,14.18,7.39
Tsukuba_f_0_1_7.png,88.67,14.18,7.39
Tsukuba_f_0_1_8.png,88.74,14.2,7.41
Tsukuba_f_0_1_9.png,88.6,14.18,7.39
Tsukuba_f_0_20_0.png,88.6,14.17,7.38
Tsukuba_f_0_20_1.png,88.6,14.17,7.38
Tsukuba_f_0_20_10.png,88.59,14.17,7.38
Tsukuba_f_0_20_11.png,88.57,14.17,7.38
Tsukuba_f_0_20_12.png,88.6,14.17,7.38
Tsukuba_f_0_20_13.png,88.78,14.2,7.41
Tsukuba_f_0_20_14.png,88.68,14.17,7.38
Tsukuba_f_0_20_15.png,88.99,14.22,7.43
Tsukuba_f_0_20_16.png,87.33,15.82,9.04
Tsukuba_f_0_20_17.png,83.25,12.64,5.85
Tsukuba_f_0_20_18.png,88.63,14.18,7.39
Tsukuba_f_0_20_2.png,88.6,14.17,7.38
Tsukuba_f_0_20_3.png,88.6,14.17,7.38
Tsukuba_f_0_20_4.png,88.6,14.17,7.38
Tsukuba_f_0_20_5.png,88.6,14.17,7.38
Tsukuba_f_0_20_6.png,88.59,14.17,7.38
Tsukuba_f_0_20_7.png,88.59,14.17,7.38
Tsukuba_f_0_20_8.png,88.59,14.17,7.38
Tsukuba_f_0_20_9.png,88.58,14.17,7.38
Tsukuba_f_0_21_0.png,88.6,14.17,7.38
Tsukuba_f_0_21_1.png,88.6,14.17,7.38
Tsukuba_f_0_21_10.png,88.59,14.17,7.38
Tsukuba_f_0_21_11.png,88.57,14.17,7.38
Tsukuba_f_0_21_12.png,88.6,14.17,7.38
Tsukuba_f_0_21_13.png,88.78,14.2,7.41
Tsukuba_f_0_21_14.png,88.68,14.17,7.38
Tsukuba_f_0_21_15.png,88.99,14.22,7.43
Tsukuba_f_0_21_16.png,87.33,15.82,9.04
Tsukuba_f_0_21_17.png,83.25,12.64,5.85
Tsukuba_f_0_21_18.png,88.63,14.18,7.39
Tsukuba_f_0_21_2.png,88.6,14.17,7.38
Tsukuba_f_0_21_3.png,88.6,14.17,7.38
Tsukuba_f_0_21_4.png,88.6,14.17,7.38
Tsukuba_f_0_21_5.png,88.6,14.17,7.38
Tsukuba_f_0_21_6.png,88.59,14.17,7.38
Tsukuba_f_0_21_7.png,88.59,14.17,7.38
Tsukuba_f_0_21_8.png,88.59,14.17,7.38
Tsukuba_f_0_21_9.png,88.58,14.17,7.38
Tsukuba_f_0_22_0.png,88.6,14.17,7.38
Tsukuba_f_0_22_1.png,88.6,14.17,7.38
Tsukuba_f_0_22_10.png,88.59,14.17,7.38
Tsukuba_f_0_22_11.png,88.57,14.17,7.38
Tsukuba_f_0_22_12.png,88.6,14.17,7.38
Tsukuba_f_0_22_13.png,88.78,14.2,7.41
Tsukuba_f_0_22_14.png,88.68,14.17,7.38
Tsukuba_f_0_22_15.png,88.99,14.22,7.43
Tsukuba_f_0_22_16.png,87.33,15.82,9.04
Tsukuba_f_0_22_17.png,83.25,12.64,5.85
Tsukuba_f_0_22_18.png,88.63,14.18,7.39
Tsukuba_f_0_22_2.png,88.6,14.17,7.38
Tsukuba_f_0_22_3.png,88.6,14.17,7.38
Tsukuba_f_0_22_4.png,88.6,14.17,7.38
Tsukuba_f_0_22_5.png,88.6,14.17,7.38
Tsukuba_f_0_22_6.png,88.59,14.17,7.38
Tsukuba_f_0_22_7.png,88.59,14.17,7.38
Tsukuba_f_0_22_8.png,88.59,14.17,7.38
Tsukuba_f_0_22_9.png,88.58,14.17,7.38
Tsukuba_f_0_23_0.png,88.6,14.17,7.38
Tsukuba_f_0_23_1.png,88.6,14.17,7.38
Tsukuba_f_0_23_10.png,88.59,14.17,7.38
Tsukuba_f_0_23_11.png,88.57,14.17,7.38
Tsukuba_f_0_23_12.png,88.6,14.17,7.38
Tsukuba_f_0_23_13.png,88.78,14.2,7.41
Tsukuba_f_0_23_14.png,88.68,14.17,7.38
Tsukuba_f_0_23_15.png,88.99,14.22,7.43
Tsukuba_f_0_23_16.png,87.33,15.82,9.04
Tsukuba_f_0_23_17.png,83.25,12.64,5.85
Tsukuba_f_0_23_18.png,88.63,14.18,7.39
Tsukuba_f_0_23_2.png,88.6,14.17,7.38
Tsukuba_f_0_23_3.png,88.6,14.17,7.38
Tsukuba_f_0_23_4.png,88.6,14.17,7.38
Tsukuba_f_0_23_5.png,88.6,14.17,7.38
Tsukuba_f_0_23_6.png,88.59,14.17,7.38
Tsukuba_f_0_23_7.png,88.59,14.17,7.38
Tsukuba_f_0_23_8.png,88.59,14.17,7.38
Tsukuba_f_0_23_9.png,88.58,14.17,7.38
Tsukuba_f_0_24_0.png,88.6,14.17,7.38
Tsukuba_f_0_24_1.png,88.6,14.17,7.38
Tsukuba_f_0_24_10.png,88.59,14.17,7.38
Tsukuba_f_0_24_11.png,88.58,14.17,7.38
Tsukuba_f_0_24_12.png,88.6,14.17,7.38
Tsukuba_f_0_24_13.png,88.78,14.2,7.41
Tsukuba_f_0_24_14.png,88.68,14.17,7.38
Tsukuba_f_0_24_15.png,88.99,14.22,7.43
Tsukuba_f_0_24_16.png,87.33,15.82,9.04
Tsukuba_f_0_24_17.png,83.25,12.64,5.85
Tsukuba_f_0_24_18.png,88.62,14.18,7.39
Tsukuba_f_0_24_2.png,88.6,14.17,7.38
Tsukuba_f_0_24_3.png,88.6,14.17,7.38
Tsukuba_f_0_24_4.png,88.6,14.17,7.38
Tsukuba_f_0_24_5.png,88.6,14.17,7.38
Tsukuba_f_0_24_6.png,88.59,14.17,7.38
Tsukuba_f_0_24_7.png,88.59,14.17,7.38
Tsukuba_f_0_24_8.png,88.59,14.17,7.38
Tsukuba_f_0_24_9.png,88.58,14.17,7.38
Tsukuba_f_0_25_0.png,88.6,14.17,7.38
Tsukuba_f_0_25_1.png,88.6,14.17,7.38
Tsukuba_f_0_25_10.png,88.59,14.17,7.38
Tsukuba_f_0_25_11.png,88.58,14.17,7.38
Tsukuba_f_0_25_12.png,88.6,14.17,7.38
Tsukuba_f_0_25_13.png,88.78,14.2,7.41
Tsukuba_f_0_25_14.png,88.68,14.17,7.38
Tsukuba_f_0_25_15.png,88.99,14.22,7.43
Tsukuba_f_0_25_16.png,87.33,15.82,9.04
Tsukuba_f_0_25_17.png,83.25,12.64,5.85
Tsukuba_f_0_25_18.png,88.62,14.18,7.39
Tsukuba_f_0_25_2.png,88.6,14.17,7.38
Tsukuba_f_0_25_3.png,88.6,14.17,7.38
Tsukuba_f_0_25_4.png,88.6,14.17,7.38
Tsukuba_f_0_25_5.png,88.6,14.17,7.38
Tsukuba_f_0_25_6.png,88.59,14.17,7.38
Tsukuba_f_0_25_7.png,88.59,14.17,7.38
Tsukuba_f_0_25_8.png,88.59,14.17,7.38
Tsukuba_f_0_25_9.png,88.58,14.17,7.38
Tsukuba_f_0_26_0.png,88.6,14.17,7.38
Tsukuba_f_0_26_1.png,88.6,14.17,7.38
Tsukuba_f_0_26_10.png,88.59,14.17,7.38
Tsukuba_f_0_26_11.png,88.57,14.17,7.38
Tsukuba_f_0_26_12.png,88.6,14.17,7.38
Tsukuba_f_0_26_13.png,88.78,14.2,7.41
Tsukuba_f_0_26_14.png,88.68,14.17,7.38
Tsukuba_f_0_26_15.png,88.99,14.22,7.43
Tsukuba_f_0_26_16.png,87.33,15.82,9.04
Tsukuba_f_0_26_17.png,83.25,12.64,5.85
Tsukuba_f_0_26_18.png,88.63,14.18,7.39
Tsukuba_f_0_26_2.png,88.6,14.17,7.38
Tsukuba_f_0_26_3.png,88.6,14.17,7.38
Tsukuba_f_0_26_4.png,88.6,14.17,7.38
Tsukuba_f_0_26_5.png,88.6,14.17,7.38
Tsukuba_f_0_26_6.png,88.59,14.17,7.38
Tsukuba_f_0_26_7.png,88.59,14.17,7.38
Tsukuba_f_0_26_8.png,88.59,14.17,7.38
Tsukuba_f_0_26_9.png,88.58,14.17,7.38
Tsukuba_f_0_27_0.png,88.6,14.17,7.38
Tsukuba_f_0_27_1.png,88.6,14.17,7.38
Tsukuba_f_0_27_10.png,88.59,14.17,7.38
Tsukuba_f_0_27_11.png,88.57,14.17,7.38
Tsukuba_f_0_27_12.png,88.6,14.17,7.38
Tsukuba_f_0_27_13.png,88.78,14.2,7.41
Tsukuba_f_0_27_14.png,88.68,14.17,7.38
Tsukuba_f_0_27_15.png,88.99,14.22,7.43
Tsukuba_f_0_27_16.png,87.33,15.83,9.04
Tsukuba_f_0_27_17.png,83.25,12.64,5.85
Tsukuba_f_0_27_18.png,88.63,14.18,7.39
Tsukuba_f_0_27_2.png,88.6,14.17,7.38
Tsukuba_f_0_27_3.png,88.6,14.17,7.38
Tsukuba_f_0_27_4.png,88.6,14.17,7.38
Tsukuba_f_0_27_5.png,88.59,14.17,7.38
Tsukuba_f_0_27_6.png,88.59,14.17,7.38
Tsukuba_f_0_27_7.png,88.59,14.17,7.38
Tsukuba_f_0_27_8.png,88.59,14.17,7.38
Tsukuba_f_0_27_9.png,88.58,14.17,7.38
Tsukuba_f_0_28_0.png,88.6,14.17,7.38
Tsukuba_f_0_28_1.png,88.6,14.17,7.38
Tsukuba_f_0_28_10.png,88.59,14.17,7.38
Tsukuba_f_0_28_11.png,88.57,14.17,7.38
Tsukuba_f_0_28_12.png,88.6,14.17,7.38
Tsukuba_f_0_28_13.png,88.78,14.2,7.41
Tsukuba_f_0_28_14.png,88.68,14.17,7.38
Tsukuba_f_0_28_15.png,88.99,14.22,7.43
Tsukuba_f_0_28_16.png,87.33,15.83,9.04
Tsukuba_f_0_28_17.png,83.25,12.64,5.85
Tsukuba_f_0_28_18.png,88.63,14.18,7.39
Tsukuba_f_0_28_2.png,88.6,14.17,7.38
Tsukuba_f_0_28_3.png,88.6,14.17,7.38
Tsukuba_f_0_28_4.png,88.6,14.17,7.38
Tsukuba_f_0_28_5.png,88.59,14.17,7.38
Tsukuba_f_0_28_6.png,88.59,14.17,7.38
Tsukuba_f_0_28_7.png,88.59,14.17,7.38
Tsukuba_f_0_28_8.png,88.59,14.17,7.38
Tsukuba_f_0_28_9.png,88.58,14.17,7.38
Tsukuba_f_0_29_0.png,88.6,14.17,7.38
Tsukuba_f_0_29_1.png,88.6,14.17,7.38
Tsukuba_f_0_29_10.png,88.59,14.17,7.38
Tsukuba_f_0_29_11.png,88.57,14.17,7.38
Tsukuba_f_0_29_12.png,88.6,14.17,7.38
